"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Tocantins";"Homicídio doloso";"12/2016";31
"Tocantins";"Homicídio doloso";"01/2017";30
"Tocantins";"Homicídio doloso";"02/2017";26
"Tocantins";"Homicídio doloso";"03/2017";28
"Tocantins";"Homicídio doloso";"04/2017";39
"Tocantins";"Homicídio doloso";"05/2017";28
"Tocantins";"Homicídio doloso";"06/2017";21
"Tocantins";"Homicídio doloso";"07/2017";27
"Tocantins";"Homicídio doloso";"08/2017";25
"Tocantins";"Homicídio doloso";"09/2017";19
"Tocantins";"Homicídio doloso";"10/2017";28
"Tocantins";"Homicídio doloso";"11/2017";24
"Tocantins";"Homicídio doloso";"12/2017";42
"Tocantins";"Homicídio doloso";"01/2018";35
"Tocantins";"Homicídio doloso";"02/2018";27
"Tocantins";"Homicídio doloso";"03/2018";35
"Tocantins";"Homicídio doloso";"04/2018";27
"Tocantins";"Homicídio doloso";"05/2018";20
"Tocantins";"Homicídio doloso";"06/2018";37
"Tocantins";"Homicídio doloso";"07/2018";32
"Tocantins";"Homicídio doloso";"08/2018";31
"Tocantins";"Homicídio doloso";"09/2018";27
"Tocantins";"Homicídio doloso";"10/2018";42
"Tocantins";"Homicídio doloso";"11/2018";30
"Tocantins";"Homicídio doloso";"12/2018";39
"Tocantins";"Lesão corporal seguida de morte";"01/2015";0
"Tocantins";"Lesão corporal seguida de morte";"02/2015";1
"Tocantins";"Lesão corporal seguida de morte";"03/2015";0
"Tocantins";"Lesão corporal seguida de morte";"04/2015";0
"Tocantins";"Lesão corporal seguida de morte";"05/2015";2
"Tocantins";"Lesão corporal seguida de morte";"06/2015";1
"Tocantins";"Lesão corporal seguida de morte";"07/2015";1
"Tocantins";"Lesão corporal seguida de morte";"08/2015";0
"Tocantins";"Lesão corporal seguida de morte";"09/2015";0
"Tocantins";"Lesão corporal seguida de morte";"10/2015";1
"Tocantins";"Lesão corporal seguida de morte";"11/2015";1
"Tocantins";"Lesão corporal seguida de morte";"12/2015";0
"Tocantins";"Lesão corporal seguida de morte";"01/2016";0
"Tocantins";"Lesão corporal seguida de morte";"02/2016";2
"Tocantins";"Lesão corporal seguida de morte";"03/2016";0
"Tocantins";"Lesão corporal seguida de morte";"04/2016";0
"Tocantins";"Lesão corporal seguida de morte";"05/2016";0
"Tocantins";"Lesão corporal seguida de morte";"06/2016";1
"Tocantins";"Lesão corporal seguida de morte";"07/2016";0
"Tocantins";"Lesão corporal seguida de morte";"08/2016";0
"Tocantins";"Lesão corporal seguida de morte";"09/2016";0
"Tocantins";"Lesão corporal seguida de morte";"10/2016";1
"Tocantins";"Lesão corporal seguida de morte";"11/2016";1
"Tocantins";"Lesão corporal seguida de morte";"12/2016";0
"Tocantins";"Lesão corporal seguida de morte";"01/2017";0
"Tocantins";"Lesão corporal seguida de morte";"02/2017";0
"Tocantins";"Lesão corporal seguida de morte";"03/2017";0
"Tocantins";"Lesão corporal seguida de morte";"04/2017";1
"Tocantins";"Lesão corporal seguida de morte";"05/2017";1
"Tocantins";"Lesão corporal seguida de morte";"06/2017";1
"Tocantins";"Lesão corporal seguida de morte";"07/2017";0
"Tocantins";"Lesão corporal seguida de morte";"08/2017";0
"Tocantins";"Lesão corporal seguida de morte";"09/2017";2
"Tocantins";"Lesão corporal seguida de morte";"10/2017";2
"Tocantins";"Lesão corporal seguida de morte";"11/2017";0
"Tocantins";"Lesão corporal seguida de morte";"12/2017";0
"Tocantins";"Lesão corporal seguida de morte";"01/2018";0
"Tocantins";"Lesão corporal seguida de morte";"02/2018";1
"Tocantins";"Lesão corporal seguida de morte";"03/2018";0
"Tocantins";"Lesão corporal seguida de morte";"04/2018";0
"Tocantins";"Lesão corporal seguida de morte";"05/2018";0
"Tocantins";"Lesão corporal seguida de morte";"06/2018";1
"Tocantins";"Lesão corporal seguida de morte";"07/2018";1
"Tocantins";"Lesão corporal seguida de morte";"08/2018";2
"Tocantins";"Lesão corporal seguida de morte";"09/2018";1
"Tocantins";"Lesão corporal seguida de morte";"10/2018";1
"Tocantins";"Lesão corporal seguida de morte";"11/2018";1
"Tocantins";"Lesão corporal seguida de morte";"12/2018";0
"Tocantins";"Roubo a instituição financeira";"01/2015";3
"Tocantins";"Roubo a instituição financeira";"02/2015";2
"Tocantins";"Roubo a instituição financeira";"03/2015";0
"Tocantins";"Roubo a instituição financeira";"04/2015";3
"Tocantins";"Roubo a instituição financeira";"05/2015";1
"Tocantins";"Roubo a instituição financeira";"06/2015";5
"Tocantins";"Roubo a instituição financeira";"07/2015";0
"Tocantins";"Roubo a instituição financeira";"08/2015";2
"Tocantins";"Roubo a instituição financeira";"09/2015";1
"Tocantins";"Roubo a instituição financeira";"10/2015";2
"Tocantins";"Roubo a instituição financeira";"11/2015";1
"Tocantins";"Roubo a instituição financeira";"12/2015";6
"Tocantins";"Roubo a instituição financeira";"01/2016";4
"Tocantins";"Roubo a instituição financeira";"02/2016";1
"Tocantins";"Roubo a instituição financeira";"03/2016";2
"Tocantins";"Roubo a instituição financeira";"04/2016";4
"Tocantins";"Roubo a instituição financeira";"05/2016";5
"Tocantins";"Roubo a instituição financeira";"06/2016";0
"Tocantins";"Roubo a instituição financeira";"07/2016";2
"Tocantins";"Roubo a instituição financeira";"08/2016";1
"Tocantins";"Roubo a instituição financeira";"09/2016";3
"Tocantins";"Roubo a instituição financeira";"10/2016";2
"Tocantins";"Roubo a instituição financeira";"11/2016";3
"Tocantins";"Roubo a instituição financeira";"12/2016";0
"Tocantins";"Roubo a instituição financeira";"01/2017";3
"Tocantins";"Roubo a instituição financeira";"02/2017";2
"Tocantins";"Roubo a instituição financeira";"03/2017";3
"Tocantins";"Roubo a instituição financeira";"04/2017";1
"Tocantins";"Roubo a instituição financeira";"05/2017";4
"Tocantins";"Roubo a instituição financeira";"06/2017";1
"Tocantins";"Roubo a instituição financeira";"07/2017";1
"Tocantins";"Roubo a instituição financeira";"08/2017";1
"Tocantins";"Roubo a instituição financeira";"09/2017";2
"Tocantins";"Roubo a instituição financeira";"10/2017";2
"Tocantins";"Roubo a instituição financeira";"11/2017";1
"Tocantins";"Roubo a instituição financeira";"12/2017";2
"Tocantins";"Roubo a instituição financeira";"01/2018";1
"Tocantins";"Roubo a instituição financeira";"02/2018";0
"Tocantins";"Roubo a instituição financeira";"03/2018";0
"Tocantins";"Roubo a instituição financeira";"04/2018";0
"Tocantins";"Roubo a instituição financeira";"05/2018";1
"Tocantins";"Roubo a instituição financeira";"06/2018";1
"Tocantins";"Roubo a instituição financeira";"07/2018";0
"Tocantins";"Roubo a instituição financeira";"08/2018";0
"Tocantins";"Roubo a instituição financeira";"09/2018";1
"Tocantins";"Roubo a instituição financeira";"10/2018";0
"Tocantins";"Roubo a instituição financeira";"11/2018";2
"Tocantins";"Roubo a instituição financeira";"12/2018";1
"Tocantins";"Roubo de carga";"01/2015";1
"Tocantins";"Roubo de carga";"02/2015";0
"Tocantins";"Roubo de carga";"03/2015";0
"Tocantins";"Roubo de carga";"04/2015";0
"Tocantins";"Roubo de carga";"05/2015";0
"Tocantins";"Roubo de carga";"06/2015";1
"Tocantins";"Roubo de carga";"07/2015";1
"Tocantins";"Roubo de carga";"08/2015";0
"Tocantins";"Roubo de carga";"09/2015";1
"Tocantins";"Roubo de carga";"10/2015";0
"Tocantins";"Roubo de carga";"11/2015";2
"Tocantins";"Roubo de carga";"12/2015";1
"Tocantins";"Roubo de carga";"01/2016";1
"Tocantins";"Roubo de carga";"02/2016";1
"Tocantins";"Roubo de carga";"03/2016";1
"Tocantins";"Roubo de carga";"04/2016";2
"Tocantins";"Roubo de carga";"05/2016";3
"Tocantins";"Roubo de carga";"06/2016";3
"Tocantins";"Roubo de carga";"07/2016";5
"Tocantins";"Roubo de carga";"08/2016";3
"Tocantins";"Roubo de carga";"09/2016";1
"Tocantins";"Roubo de carga";"10/2016";0
"Tocantins";"Roubo de carga";"11/2016";2
"Tocantins";"Roubo de carga";"12/2016";1
"Tocantins";"Roubo de carga";"01/2017";3
"Tocantins";"Roubo de carga";"02/2017";0
"Tocantins";"Roubo de carga";"03/2017";0
"Tocantins";"Roubo de carga";"04/2017";0
"Tocantins";"Roubo de carga";"05/2017";0
"Tocantins";"Roubo de carga";"06/2017";0
"Tocantins";"Roubo de carga";"07/2017";0
"Tocantins";"Roubo de carga";"08/2017";1
"Tocantins";"Roubo de carga";"09/2017";0
"Tocantins";"Roubo de carga";"10/2017";2
"Tocantins";"Roubo de carga";"11/2017";0
"Tocantins";"Roubo de carga";"12/2017";2
"Tocantins";"Roubo de carga";"01/2018";0
"Tocantins";"Roubo de carga";"02/2018";0
"Tocantins";"Roubo de carga";"03/2018";0
"Tocantins";"Roubo de carga";"04/2018";0
"Tocantins";"Roubo de carga";"05/2018";0
"Tocantins";"Roubo de carga";"06/2018";0
"Tocantins";"Roubo de carga";"07/2018";0
"Tocantins";"Roubo de carga";"08/2018";0
"Tocantins";"Roubo de carga";"09/2018";0
"Tocantins";"Roubo de carga";"10/2018";0
"Tocantins";"Roubo de carga";"11/2018";0
"Tocantins";"Roubo de carga";"12/2018";0
"Tocantins";"Roubo de veículo";"01/2015";43
"Tocantins";"Roubo de veículo";"02/2015";20
"Tocantins";"Roubo de veículo";"03/2015";22
"Tocantins";"Roubo de veículo";"04/2015";50
"Tocantins";"Roubo de veículo";"05/2015";62
