"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Alagoas";"Homicídio doloso";"12/2016";175
"Alagoas";"Homicídio doloso";"01/2017";189
"Alagoas";"Homicídio doloso";"02/2017";168
"Alagoas";"Homicídio doloso";"03/2017";175
"Alagoas";"Homicídio doloso";"04/2017";150
"Alagoas";"Homicídio doloso";"05/2017";108
"Alagoas";"Homicídio doloso";"06/2017";118
"Alagoas";"Homicídio doloso";"07/2017";102
"Alagoas";"Homicídio doloso";"08/2017";136
"Alagoas";"Homicídio doloso";"09/2017";137
"Alagoas";"Homicídio doloso";"10/2017";146
"Alagoas";"Homicídio doloso";"11/2017";132
"Alagoas";"Homicídio doloso";"12/2017";146
"Alagoas";"Homicídio doloso";"01/2018";151
"Alagoas";"Homicídio doloso";"02/2018";106
"Alagoas";"Homicídio doloso";"03/2018";118
"Alagoas";"Homicídio doloso";"04/2018";138
"Alagoas";"Homicídio doloso";"05/2018";112
"Alagoas";"Homicídio doloso";"06/2018";114
"Alagoas";"Homicídio doloso";"07/2018";91
"Alagoas";"Homicídio doloso";"08/2018";110
"Alagoas";"Homicídio doloso";"09/2018";97
"Alagoas";"Homicídio doloso";"10/2018";96
"Alagoas";"Homicídio doloso";"11/2018";88
"Alagoas";"Homicídio doloso";"12/2018";111
"Alagoas";"Lesão corporal seguida de morte";"01/2015";1
"Alagoas";"Lesão corporal seguida de morte";"02/2015";0
"Alagoas";"Lesão corporal seguida de morte";"03/2015";1
"Alagoas";"Lesão corporal seguida de morte";"04/2015";1
"Alagoas";"Lesão corporal seguida de morte";"05/2015";2
"Alagoas";"Lesão corporal seguida de morte";"06/2015";0
"Alagoas";"Lesão corporal seguida de morte";"07/2015";0
"Alagoas";"Lesão corporal seguida de morte";"08/2015";2
"Alagoas";"Lesão corporal seguida de morte";"09/2015";0
"Alagoas";"Lesão corporal seguida de morte";"10/2015";2
"Alagoas";"Lesão corporal seguida de morte";"11/2015";0
"Alagoas";"Lesão corporal seguida de morte";"12/2015";0
"Alagoas";"Lesão corporal seguida de morte";"01/2016";0
"Alagoas";"Lesão corporal seguida de morte";"02/2016";1
"Alagoas";"Lesão corporal seguida de morte";"03/2016";1
"Alagoas";"Lesão corporal seguida de morte";"04/2016";1
"Alagoas";"Lesão corporal seguida de morte";"05/2016";0
"Alagoas";"Lesão corporal seguida de morte";"06/2016";2
"Alagoas";"Lesão corporal seguida de morte";"07/2016";0
"Alagoas";"Lesão corporal seguida de morte";"08/2016";0
"Alagoas";"Lesão corporal seguida de morte";"09/2016";0
"Alagoas";"Lesão corporal seguida de morte";"10/2016";0
"Alagoas";"Lesão corporal seguida de morte";"11/2016";1
"Alagoas";"Lesão corporal seguida de morte";"12/2016";3
"Alagoas";"Lesão corporal seguida de morte";"01/2017";3
"Alagoas";"Lesão corporal seguida de morte";"02/2017";5
"Alagoas";"Lesão corporal seguida de morte";"03/2017";1
"Alagoas";"Lesão corporal seguida de morte";"04/2017";2
"Alagoas";"Lesão corporal seguida de morte";"05/2017";2
"Alagoas";"Lesão corporal seguida de morte";"06/2017";0
"Alagoas";"Lesão corporal seguida de morte";"07/2017";1
"Alagoas";"Lesão corporal seguida de morte";"08/2017";0
"Alagoas";"Lesão corporal seguida de morte";"09/2017";2
"Alagoas";"Lesão corporal seguida de morte";"10/2017";0
"Alagoas";"Lesão corporal seguida de morte";"11/2017";2
"Alagoas";"Lesão corporal seguida de morte";"12/2017";1
"Alagoas";"Lesão corporal seguida de morte";"01/2018";0
"Alagoas";"Lesão corporal seguida de morte";"02/2018";0
"Alagoas";"Lesão corporal seguida de morte";"03/2018";2
"Alagoas";"Lesão corporal seguida de morte";"04/2018";0
"Alagoas";"Lesão corporal seguida de morte";"05/2018";0
"Alagoas";"Lesão corporal seguida de morte";"06/2018";2
"Alagoas";"Lesão corporal seguida de morte";"07/2018";1
"Alagoas";"Lesão corporal seguida de morte";"08/2018";0
"Alagoas";"Lesão corporal seguida de morte";"09/2018";0
"Alagoas";"Lesão corporal seguida de morte";"10/2018";2
"Alagoas";"Lesão corporal seguida de morte";"11/2018";1
"Alagoas";"Lesão corporal seguida de morte";"12/2018";0
"Alagoas";"Roubo a instituição financeira";"01/2015";1
"Alagoas";"Roubo a instituição financeira";"02/2015";1
"Alagoas";"Roubo a instituição financeira";"03/2015";4
"Alagoas";"Roubo a instituição financeira";"04/2015";1
"Alagoas";"Roubo a instituição financeira";"05/2015";4
"Alagoas";"Roubo a instituição financeira";"06/2015";0
"Alagoas";"Roubo a instituição financeira";"07/2015";2
"Alagoas";"Roubo a instituição financeira";"08/2015";0
"Alagoas";"Roubo a instituição financeira";"09/2015";0
"Alagoas";"Roubo a instituição financeira";"10/2015";0
"Alagoas";"Roubo a instituição financeira";"11/2015";0
"Alagoas";"Roubo a instituição financeira";"12/2015";0
"Alagoas";"Roubo a instituição financeira";"01/2016";4
"Alagoas";"Roubo a instituição financeira";"02/2016";5
"Alagoas";"Roubo a instituição financeira";"03/2016";5
"Alagoas";"Roubo a instituição financeira";"04/2016";3
"Alagoas";"Roubo a instituição financeira";"05/2016";1
"Alagoas";"Roubo a instituição financeira";"06/2016";2
"Alagoas";"Roubo a instituição financeira";"07/2016";3
"Alagoas";"Roubo a instituição financeira";"08/2016";2
"Alagoas";"Roubo a instituição financeira";"09/2016";0
"Alagoas";"Roubo a instituição financeira";"10/2016";0
"Alagoas";"Roubo a instituição financeira";"11/2016";0
"Alagoas";"Roubo a instituição financeira";"12/2016";0
"Alagoas";"Roubo a instituição financeira";"01/2017";1
"Alagoas";"Roubo a instituição financeira";"02/2017";2
"Alagoas";"Roubo a instituição financeira";"03/2017";1
"Alagoas";"Roubo a instituição financeira";"04/2017";1
"Alagoas";"Roubo a instituição financeira";"05/2017";4
"Alagoas";"Roubo a instituição financeira";"06/2017";3
"Alagoas";"Roubo a instituição financeira";"07/2017";2
"Alagoas";"Roubo a instituição financeira";"08/2017";0
"Alagoas";"Roubo a instituição financeira";"09/2017";0
"Alagoas";"Roubo a instituição financeira";"10/2017";0
"Alagoas";"Roubo a instituição financeira";"11/2017";0
"Alagoas";"Roubo a instituição financeira";"12/2017";0
"Alagoas";"Roubo a instituição financeira";"01/2018";4
"Alagoas";"Roubo a instituição financeira";"02/2018";3
"Alagoas";"Roubo a instituição financeira";"03/2018";2
"Alagoas";"Roubo a instituição financeira";"04/2018";3
"Alagoas";"Roubo a instituição financeira";"05/2018";4
"Alagoas";"Roubo a instituição financeira";"06/2018";5
"Alagoas";"Roubo a instituição financeira";"07/2018";0
"Alagoas";"Roubo a instituição financeira";"08/2018";1
"Alagoas";"Roubo a instituição financeira";"09/2018";0
"Alagoas";"Roubo a instituição financeira";"10/2018";0
"Alagoas";"Roubo a instituição financeira";"11/2018";0
"Alagoas";"Roubo a instituição financeira";"12/2018";0
"Alagoas";"Roubo de carga";"01/2015";10
"Alagoas";"Roubo de carga";"02/2015";3
"Alagoas";"Roubo de carga";"03/2015";9
"Alagoas";"Roubo de carga";"04/2015";3
"Alagoas";"Roubo de carga";"05/2015";5
"Alagoas";"Roubo de carga";"06/2015";2
"Alagoas";"Roubo de carga";"07/2015";12
"Alagoas";"Roubo de carga";"08/2015";8
"Alagoas";"Roubo de carga";"09/2015";13
"Alagoas";"Roubo de carga";"10/2015";15
"Alagoas";"Roubo de carga";"11/2015";8
"Alagoas";"Roubo de carga";"12/2015";7
"Alagoas";"Roubo de carga";"01/2016";3
"Alagoas";"Roubo de carga";"02/2016";5
"Alagoas";"Roubo de carga";"03/2016";9
"Alagoas";"Roubo de carga";"04/2016";5
"Alagoas";"Roubo de carga";"05/2016";9
"Alagoas";"Roubo de carga";"06/2016";8
