"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Maranhão";"Roubo a instituição financeira";"12/2015";15
"Maranhão";"Roubo de carga";"12/2015";9
"Maranhão";"Roubo de veículo";"12/2015";420
"Maranhão";"Roubo seguido de morte (latrocínio)";"12/2015";8
"Maranhão";"Tentativa de homicídio";"12/2015";112
"Maranhão";"Estupro";"01/2016";67
"Maranhão";"Furto de veículo";"01/2016";252
"Maranhão";"Homicídio doloso";"01/2016";207
"Maranhão";"Lesão corporal seguida de morte";"01/2016";2
"Maranhão";"Roubo a instituição financeira";"01/2016";13
"Maranhão";"Roubo de carga";"01/2016";12
"Maranhão";"Roubo de veículo";"01/2016";438
"Maranhão";"Roubo seguido de morte (latrocínio)";"01/2016";5
"Maranhão";"Tentativa de homicídio";"01/2016";124
"Maranhão";"Estupro";"02/2016";67
"Maranhão";"Furto de veículo";"02/2016";319
"Maranhão";"Homicídio doloso";"02/2016";205
"Maranhão";"Lesão corporal seguida de morte";"02/2016";2
"Maranhão";"Roubo a instituição financeira";"02/2016";5
"Maranhão";"Roubo de carga";"02/2016";5
"Maranhão";"Roubo de veículo";"02/2016";382
"Maranhão";"Roubo seguido de morte (latrocínio)";"02/2016";5
"Maranhão";"Tentativa de homicídio";"02/2016";104
"Maranhão";"Estupro";"03/2016";90
"Maranhão";"Furto de veículo";"03/2016";276
"Maranhão";"Homicídio doloso";"03/2016";178
"Maranhão";"Lesão corporal seguida de morte";"03/2016";3
"Maranhão";"Roubo a instituição financeira";"03/2016";4
"Maranhão";"Roubo de carga";"03/2016";7
"Maranhão";"Roubo de veículo";"03/2016";423
"Maranhão";"Roubo seguido de morte (latrocínio)";"03/2016";9
"Maranhão";"Tentativa de homicídio";"03/2016";119
"Maranhão";"Estupro";"04/2016";66
"Maranhão";"Furto de veículo";"04/2016";236
"Maranhão";"Homicídio doloso";"04/2016";162
"Maranhão";"Lesão corporal seguida de morte";"04/2016";2
"Maranhão";"Roubo a instituição financeira";"04/2016";7
"Maranhão";"Roubo de carga";"04/2016";3
"Maranhão";"Roubo de veículo";"04/2016";427
"Maranhão";"Roubo seguido de morte (latrocínio)";"04/2016";9
"Maranhão";"Tentativa de homicídio";"04/2016";99
"Maranhão";"Estupro";"05/2016";88
"Maranhão";"Furto de veículo";"05/2016";282
"Maranhão";"Homicídio doloso";"05/2016";153
"Maranhão";"Lesão corporal seguida de morte";"05/2016";1
"Maranhão";"Roubo a instituição financeira";"05/2016";8
"Maranhão";"Roubo de carga";"05/2016";4
"Maranhão";"Roubo de veículo";"05/2016";370
"Maranhão";"Roubo seguido de morte (latrocínio)";"05/2016";14
"Maranhão";"Tentativa de homicídio";"05/2016";97
"Maranhão";"Estupro";"06/2016";75
"Maranhão";"Furto de veículo";"06/2016";268
"Maranhão";"Homicídio doloso";"06/2016";144
"Maranhão";"Lesão corporal seguida de morte";"06/2016";3
"Maranhão";"Roubo a instituição financeira";"06/2016";7
"Maranhão";"Roubo de carga";"06/2016";13
"Maranhão";"Roubo de veículo";"06/2016";358
"Maranhão";"Roubo seguido de morte (latrocínio)";"06/2016";17
"Maranhão";"Tentativa de homicídio";"06/2016";92
"Maranhão";"Estupro";"07/2016";85
"Maranhão";"Furto de veículo";"07/2016";234
"Maranhão";"Homicídio doloso";"07/2016";178
"Maranhão";"Lesão corporal seguida de morte";"07/2016";4
"Maranhão";"Roubo a instituição financeira";"07/2016";5
"Maranhão";"Roubo de carga";"07/2016";4
"Maranhão";"Roubo de veículo";"07/2016";376
"Maranhão";"Roubo seguido de morte (latrocínio)";"07/2016";9
"Maranhão";"Tentativa de homicídio";"07/2016";99
"Maranhão";"Estupro";"08/2016";85
"Maranhão";"Furto de veículo";"08/2016";257
"Maranhão";"Homicídio doloso";"08/2016";185
"Maranhão";"Lesão corporal seguida de morte";"08/2016";1
"Maranhão";"Roubo a instituição financeira";"08/2016";8
"Maranhão";"Roubo de carga";"08/2016";5
"Maranhão";"Roubo de veículo";"08/2016";398
"Maranhão";"Roubo seguido de morte (latrocínio)";"08/2016";14
"Maranhão";"Tentativa de homicídio";"08/2016";96
"Maranhão";"Estupro";"09/2016";90
"Maranhão";"Furto de veículo";"09/2016";288
"Maranhão";"Homicídio doloso";"09/2016";148
"Maranhão";"Lesão corporal seguida de morte";"09/2016";1
"Maranhão";"Roubo a instituição financeira";"09/2016";4
"Maranhão";"Roubo de carga";"09/2016";2
"Maranhão";"Roubo de veículo";"09/2016";400
"Maranhão";"Roubo seguido de morte (latrocínio)";"09/2016";12
