"UF";"Tipo Crime";"Mês/Ano";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Goiás";"Homicídio doloso";"04/2017";240
"Goiás";"Homicídio doloso";"05/2017";183
"Goiás";"Homicídio doloso";"06/2017";160
"Goiás";"Homicídio doloso";"07/2017";190
"Goiás";"Homicídio doloso";"08/2017";197
"Goiás";"Homicídio doloso";"09/2017";182
"Goiás";"Homicídio doloso";"10/2017";199
"Goiás";"Homicídio doloso";"11/2017";151
"Goiás";"Homicídio doloso";"12/2017";162
"Goiás";"Homicídio doloso";"01/2018";170
"Goiás";"Homicídio doloso";"02/2018";173
"Goiás";"Homicídio doloso";"03/2018";182
"Goiás";"Homicídio doloso";"04/2018";185
"Goiás";"Homicídio doloso";"05/2018";162
"Goiás";"Homicídio doloso";"06/2018";169
"Goiás";"Homicídio doloso";"07/2018";167
"Goiás";"Homicídio doloso";"08/2018";150
"Goiás";"Homicídio doloso";"09/2018";177
"Goiás";"Homicídio doloso";"10/2018";170
"Goiás";"Homicídio doloso";"11/2018";126
"Goiás";"Homicídio doloso";"12/2018";180
"Goiás";"Lesão corporal seguida de morte";"01/2015";1
"Goiás";"Lesão corporal seguida de morte";"02/2015";3
"Goiás";"Lesão corporal seguida de morte";"03/2015";1
"Goiás";"Lesão corporal seguida de morte";"04/2015";1
"Goiás";"Lesão corporal seguida de morte";"05/2015";3
"Goiás";"Lesão corporal seguida de morte";"06/2015";2
"Goiás";"Lesão corporal seguida de morte";"07/2015";2
"Goiás";"Lesão corporal seguida de morte";"08/2015";3
"Goiás";"Lesão corporal seguida de morte";"09/2015";1
"Goiás";"Lesão corporal seguida de morte";"10/2015";3
"Goiás";"Lesão corporal seguida de morte";"11/2015";2
"Goiás";"Lesão corporal seguida de morte";"12/2015";1
"Goiás";"Lesão corporal seguida de morte";"01/2016";4
"Goiás";"Lesão corporal seguida de morte";"02/2016";4
"Goiás";"Lesão corporal seguida de morte";"03/2016";1
"Goiás";"Lesão corporal seguida de morte";"04/2016";6
"Goiás";"Lesão corporal seguida de morte";"05/2016";2
"Goiás";"Lesão corporal seguida de morte";"06/2016";4
"Goiás";"Lesão corporal seguida de morte";"07/2016";3
"Goiás";"Lesão corporal seguida de morte";"08/2016";2
"Goiás";"Lesão corporal seguida de morte";"09/2016";2
"Goiás";"Lesão corporal seguida de morte";"10/2016";4
"Goiás";"Lesão corporal seguida de morte";"11/2016";5
"Goiás";"Lesão corporal seguida de morte";"12/2016";6
"Goiás";"Lesão corporal seguida de morte";"01/2017";2
"Goiás";"Lesão corporal seguida de morte";"02/2017";5
"Goiás";"Lesão corporal seguida de morte";"03/2017";4
"Goiás";"Lesão corporal seguida de morte";"04/2017";1
