"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Mato Grosso do Sul";"Homicídio Doloso";"04/2018";"Masculino";35
"Mato Grosso do Sul";"Homicídio Doloso";"05/2012";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"05/2012";"Masculino";44
"Mato Grosso do Sul";"Homicídio Doloso";"05/2012";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"05/2013";"Feminino";2
"Mato Grosso do Sul";"Homicídio Doloso";"05/2013";"Masculino";36
"Mato Grosso do Sul";"Homicídio Doloso";"05/2013";"Sexo NI";1
"Mato Grosso do Sul";"Homicídio Doloso";"05/2014";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"05/2014";"Masculino";55
"Mato Grosso do Sul";"Homicídio Doloso";"05/2015";"Feminino";4
"Mato Grosso do Sul";"Homicídio Doloso";"05/2015";"Masculino";42
"Mato Grosso do Sul";"Homicídio Doloso";"05/2016";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"05/2016";"Masculino";38
"Mato Grosso do Sul";"Homicídio Doloso";"05/2016";"Sexo NI";3
"Mato Grosso do Sul";"Homicídio Doloso";"05/2017";"Feminino";5
"Mato Grosso do Sul";"Homicídio Doloso";"05/2017";"Masculino";38
"Mato Grosso do Sul";"Homicídio Doloso";"05/2018";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"05/2018";"Masculino";38
"Mato Grosso do Sul";"Homicídio Doloso";"05/2018";"Sexo NI";0
"Mato Grosso do Sul";"Homicídio Doloso";"06/2012";"Feminino";3
"Mato Grosso do Sul";"Homicídio Doloso";"06/2012";"Masculino";39
"Mato Grosso do Sul";"Homicídio Doloso";"06/2013";"Feminino";1
"Mato Grosso do Sul";"Homicídio Doloso";"06/2013";"Masculino";39
"Mato Grosso do Sul";"Homicídio Doloso";"06/2014";"Feminino";6
"Mato Grosso do Sul";"Homicídio Doloso";"06/2014";"Masculino";22
