"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Paraná";"Homicídio doloso";"05/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"05/2017";"Sexo NI";162
"Paraná";"Homicídio doloso";"06/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"06/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"06/2017";"Sexo NI";158
"Paraná";"Homicídio doloso";"07/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"07/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"07/2017";"Sexo NI";185
"Paraná";"Homicídio doloso";"08/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"08/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"08/2017";"Sexo NI";178
"Paraná";"Homicídio doloso";"09/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"09/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"09/2017";"Sexo NI";205
"Paraná";"Homicídio doloso";"10/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"10/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"10/2017";"Sexo NI";176
"Paraná";"Homicídio doloso";"11/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"11/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"11/2017";"Sexo NI";181
"Paraná";"Homicídio doloso";"12/2017";"Feminino";"-"
"Paraná";"Homicídio doloso";"12/2017";"Masculino";"-"
"Paraná";"Homicídio doloso";"12/2017";"Sexo NI";139
"Paraná";"Homicídio doloso";"01/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"01/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"01/2018";"Sexo NI";185
"Paraná";"Homicídio doloso";"02/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"02/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"02/2018";"Sexo NI";182
"Paraná";"Homicídio doloso";"03/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"03/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"03/2018";"Sexo NI";191
"Paraná";"Homicídio doloso";"04/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"04/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"04/2018";"Sexo NI";161
"Paraná";"Homicídio doloso";"05/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"05/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"05/2018";"Sexo NI";187
"Paraná";"Homicídio doloso";"06/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"06/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"06/2018";"Sexo NI";127
"Paraná";"Homicídio doloso";"07/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"07/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"07/2018";"Sexo NI";170
"Paraná";"Homicídio doloso";"08/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"08/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"08/2018";"Sexo NI";141
"Paraná";"Homicídio doloso";"09/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"09/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"09/2018";"Sexo NI";154
"Paraná";"Homicídio doloso";"10/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"10/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"10/2018";"Sexo NI";146
"Paraná";"Homicídio doloso";"11/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"11/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"11/2018";"Sexo NI";151
"Paraná";"Homicídio doloso";"12/2018";"Feminino";"-"
"Paraná";"Homicídio doloso";"12/2018";"Masculino";"-"
"Paraná";"Homicídio doloso";"12/2018";"Sexo NI";160
