"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rondônia";"Homicídio doloso";"09/2017";"Sexo NI";0
"Rondônia";"Homicídio doloso";"10/2017";"Feminino";5
"Rondônia";"Homicídio doloso";"10/2017";"Masculino";30
"Rondônia";"Homicídio doloso";"10/2017";"Sexo NI";0
"Rondônia";"Homicídio doloso";"11/2017";"Feminino";4
"Rondônia";"Homicídio doloso";"11/2017";"Masculino";36
"Rondônia";"Homicídio doloso";"11/2017";"Sexo NI";0
"Rondônia";"Homicídio doloso";"12/2017";"Feminino";2
"Rondônia";"Homicídio doloso";"12/2017";"Masculino";31
"Rondônia";"Homicídio doloso";"12/2017";"Sexo NI";0
"Rondônia";"Homicídio doloso";"01/2018";"Feminino";0
"Rondônia";"Homicídio doloso";"01/2018";"Masculino";46
"Rondônia";"Homicídio doloso";"01/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"02/2018";"Feminino";0
"Rondônia";"Homicídio doloso";"02/2018";"Masculino";26
"Rondônia";"Homicídio doloso";"02/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"03/2018";"Feminino";4
"Rondônia";"Homicídio doloso";"03/2018";"Masculino";41
"Rondônia";"Homicídio doloso";"03/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"04/2018";"Feminino";3
"Rondônia";"Homicídio doloso";"04/2018";"Masculino";38
"Rondônia";"Homicídio doloso";"04/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"05/2018";"Feminino";2
"Rondônia";"Homicídio doloso";"05/2018";"Masculino";31
"Rondônia";"Homicídio doloso";"05/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"06/2018";"Feminino";5
"Rondônia";"Homicídio doloso";"06/2018";"Masculino";24
"Rondônia";"Homicídio doloso";"06/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"07/2018";"Feminino";8
"Rondônia";"Homicídio doloso";"07/2018";"Masculino";31
"Rondônia";"Homicídio doloso";"07/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"08/2018";"Feminino";5
"Rondônia";"Homicídio doloso";"08/2018";"Masculino";32
"Rondônia";"Homicídio doloso";"08/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"09/2018";"Feminino";3
"Rondônia";"Homicídio doloso";"09/2018";"Masculino";34
"Rondônia";"Homicídio doloso";"09/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"10/2018";"Feminino";4
"Rondônia";"Homicídio doloso";"10/2018";"Masculino";25
"Rondônia";"Homicídio doloso";"10/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"11/2018";"Feminino";3
"Rondônia";"Homicídio doloso";"11/2018";"Masculino";27
"Rondônia";"Homicídio doloso";"11/2018";"Sexo NI";0
"Rondônia";"Homicídio doloso";"12/2018";"Feminino";4
"Rondônia";"Homicídio doloso";"12/2018";"Masculino";34
"Rondônia";"Homicídio doloso";"12/2018";"Sexo NI";0
