"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Sergipe";"Homicídio doloso";"09/2017";"Sexo NI";0
"Sergipe";"Homicídio doloso";"10/2017";"Feminino";4
"Sergipe";"Homicídio doloso";"10/2017";"Masculino";94
"Sergipe";"Homicídio doloso";"10/2017";"Sexo NI";0
"Sergipe";"Homicídio doloso";"11/2017";"Feminino";7
"Sergipe";"Homicídio doloso";"11/2017";"Masculino";101
"Sergipe";"Homicídio doloso";"11/2017";"Sexo NI";0
"Sergipe";"Homicídio doloso";"12/2017";"Feminino";5
"Sergipe";"Homicídio doloso";"12/2017";"Masculino";104
"Sergipe";"Homicídio doloso";"12/2017";"Sexo NI";0
"Sergipe";"Homicídio doloso";"01/2018";"Feminino";6
"Sergipe";"Homicídio doloso";"01/2018";"Masculino";96
"Sergipe";"Homicídio doloso";"01/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"02/2018";"Feminino";4
"Sergipe";"Homicídio doloso";"02/2018";"Masculino";86
"Sergipe";"Homicídio doloso";"02/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"03/2018";"Feminino";3
"Sergipe";"Homicídio doloso";"03/2018";"Masculino";107
"Sergipe";"Homicídio doloso";"03/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"04/2018";"Feminino";6
"Sergipe";"Homicídio doloso";"04/2018";"Masculino";89
"Sergipe";"Homicídio doloso";"04/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"05/2018";"Feminino";2
"Sergipe";"Homicídio doloso";"05/2018";"Masculino";76
"Sergipe";"Homicídio doloso";"05/2018";"Sexo NI";1
"Sergipe";"Homicídio doloso";"06/2018";"Feminino";6
"Sergipe";"Homicídio doloso";"06/2018";"Masculino";70
"Sergipe";"Homicídio doloso";"06/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"07/2018";"Feminino";2
"Sergipe";"Homicídio doloso";"07/2018";"Masculino";63
"Sergipe";"Homicídio doloso";"07/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"08/2018";"Feminino";1
"Sergipe";"Homicídio doloso";"08/2018";"Masculino";71
"Sergipe";"Homicídio doloso";"08/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"09/2018";"Feminino";4
"Sergipe";"Homicídio doloso";"09/2018";"Masculino";51
"Sergipe";"Homicídio doloso";"09/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"10/2018";"Feminino";0
"Sergipe";"Homicídio doloso";"10/2018";"Masculino";66
"Sergipe";"Homicídio doloso";"10/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"11/2018";"Feminino";1
"Sergipe";"Homicídio doloso";"11/2018";"Masculino";65
"Sergipe";"Homicídio doloso";"11/2018";"Sexo NI";0
"Sergipe";"Homicídio doloso";"12/2018";"Feminino";2
"Sergipe";"Homicídio doloso";"12/2018";"Masculino";68
"Sergipe";"Homicídio doloso";"12/2018";"Sexo NI";0
