"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Paraíba";"Homicídio doloso";"09/2017";"Feminino";6
"Paraíba";"Homicídio doloso";"09/2017";"Masculino";104
"Paraíba";"Homicídio doloso";"09/2017";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"10/2017";"Feminino";6
"Paraíba";"Homicídio doloso";"10/2017";"Masculino";88
"Paraíba";"Homicídio doloso";"10/2017";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"11/2017";"Feminino";5
"Paraíba";"Homicídio doloso";"11/2017";"Masculino";109
"Paraíba";"Homicídio doloso";"11/2017";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"12/2017";"Feminino";2
"Paraíba";"Homicídio doloso";"12/2017";"Masculino";102
"Paraíba";"Homicídio doloso";"12/2017";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"01/2018";"Feminino";13
"Paraíba";"Homicídio doloso";"01/2018";"Masculino";112
"Paraíba";"Homicídio doloso";"01/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"02/2018";"Feminino";10
"Paraíba";"Homicídio doloso";"02/2018";"Masculino";82
"Paraíba";"Homicídio doloso";"02/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"03/2018";"Feminino";7
"Paraíba";"Homicídio doloso";"03/2018";"Masculino";83
"Paraíba";"Homicídio doloso";"03/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"04/2018";"Feminino";6
"Paraíba";"Homicídio doloso";"04/2018";"Masculino";90
"Paraíba";"Homicídio doloso";"04/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"05/2018";"Feminino";5
"Paraíba";"Homicídio doloso";"05/2018";"Masculino";78
"Paraíba";"Homicídio doloso";"05/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"06/2018";"Feminino";8
"Paraíba";"Homicídio doloso";"06/2018";"Masculino";94
"Paraíba";"Homicídio doloso";"06/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"07/2018";"Feminino";5
"Paraíba";"Homicídio doloso";"07/2018";"Masculino";93
"Paraíba";"Homicídio doloso";"07/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"08/2018";"Feminino";4
"Paraíba";"Homicídio doloso";"08/2018";"Masculino";69
"Paraíba";"Homicídio doloso";"08/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"09/2018";"Feminino";7
"Paraíba";"Homicídio doloso";"09/2018";"Masculino";107
"Paraíba";"Homicídio doloso";"09/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"10/2018";"Feminino";5
"Paraíba";"Homicídio doloso";"10/2018";"Masculino";89
"Paraíba";"Homicídio doloso";"10/2018";"Sexo NI";"-"
"Paraíba";"Homicídio doloso";"11/2018";"Feminino";7
"Paraíba";"Homicídio doloso";"11/2018";"Masculino";85
"Paraíba";"Homicídio doloso";"11/2018";"Sexo NI";"."
"Paraíba";"Homicídio doloso";"12/2018";"Feminino";6
"Paraíba";"Homicídio doloso";"12/2018";"Masculino";97
"Paraíba";"Homicídio doloso";"12/2018";"Sexo NI";"-"
