"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Espírito Santo";"Homicídio doloso";"08/2017";"Feminino";18
"Espírito Santo";"Homicídio doloso";"08/2017";"Masculino";98
"Espírito Santo";"Homicídio doloso";"08/2017";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"09/2017";"Feminino";11
"Espírito Santo";"Homicídio doloso";"09/2017";"Masculino";80
"Espírito Santo";"Homicídio doloso";"09/2017";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"10/2017";"Feminino";14
"Espírito Santo";"Homicídio doloso";"10/2017";"Masculino";100
"Espírito Santo";"Homicídio doloso";"10/2017";"Sexo NI";1
"Espírito Santo";"Homicídio doloso";"11/2017";"Feminino";7
"Espírito Santo";"Homicídio doloso";"11/2017";"Masculino";98
"Espírito Santo";"Homicídio doloso";"11/2017";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"12/2017";"Feminino";11
"Espírito Santo";"Homicídio doloso";"12/2017";"Masculino";91
"Espírito Santo";"Homicídio doloso";"12/2017";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"01/2018";"Feminino";13
"Espírito Santo";"Homicídio doloso";"01/2018";"Masculino";102
"Espírito Santo";"Homicídio doloso";"01/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"02/2018";"Feminino";6
"Espírito Santo";"Homicídio doloso";"02/2018";"Masculino";94
"Espírito Santo";"Homicídio doloso";"02/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"03/2018";"Feminino";8
"Espírito Santo";"Homicídio doloso";"03/2018";"Masculino";104
"Espírito Santo";"Homicídio doloso";"03/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"04/2018";"Feminino";7
"Espírito Santo";"Homicídio doloso";"04/2018";"Masculino";87
"Espírito Santo";"Homicídio doloso";"04/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"05/2018";"Feminino";7
"Espírito Santo";"Homicídio doloso";"05/2018";"Masculino";82
"Espírito Santo";"Homicídio doloso";"05/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"06/2018";"Feminino";6
"Espírito Santo";"Homicídio doloso";"06/2018";"Masculino";93
"Espírito Santo";"Homicídio doloso";"06/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"07/2018";"Feminino";7
"Espírito Santo";"Homicídio doloso";"07/2018";"Masculino";60
"Espírito Santo";"Homicídio doloso";"07/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"08/2018";"Feminino";10
"Espírito Santo";"Homicídio doloso";"08/2018";"Masculino";75
"Espírito Santo";"Homicídio doloso";"08/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"09/2018";"Feminino";6
"Espírito Santo";"Homicídio doloso";"09/2018";"Masculino";84
"Espírito Santo";"Homicídio doloso";"09/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"10/2018";"Feminino";8
"Espírito Santo";"Homicídio doloso";"10/2018";"Masculino";85
"Espírito Santo";"Homicídio doloso";"10/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"11/2018";"Feminino";10
"Espírito Santo";"Homicídio doloso";"11/2018";"Masculino";69
"Espírito Santo";"Homicídio doloso";"11/2018";"Sexo NI";0
"Espírito Santo";"Homicídio doloso";"12/2018";"Feminino";5
"Espírito Santo";"Homicídio doloso";"12/2018";"Masculino";78
"Espírito Santo";"Homicídio doloso";"12/2018";"Sexo NI";0
