"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Piauí";"Homicídio doloso";"10/2017";"Masculino";42
"Piauí";"Homicídio doloso";"10/2017";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"11/2017";"Feminino";5
"Piauí";"Homicídio doloso";"11/2017";"Masculino";43
"Piauí";"Homicídio doloso";"11/2017";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"12/2017";"Feminino";4
"Piauí";"Homicídio doloso";"12/2017";"Masculino";39
"Piauí";"Homicídio doloso";"12/2017";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"01/2018";"Feminino";7
"Piauí";"Homicídio doloso";"01/2018";"Masculino";41
"Piauí";"Homicídio doloso";"01/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"02/2018";"Feminino";2
"Piauí";"Homicídio doloso";"02/2018";"Masculino";44
"Piauí";"Homicídio doloso";"02/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"03/2018";"Feminino";4
"Piauí";"Homicídio doloso";"03/2018";"Masculino";44
"Piauí";"Homicídio doloso";"03/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"04/2018";"Feminino";6
"Piauí";"Homicídio doloso";"04/2018";"Masculino";32
"Piauí";"Homicídio doloso";"04/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"05/2018";"Feminino";5
"Piauí";"Homicídio doloso";"05/2018";"Masculino";37
"Piauí";"Homicídio doloso";"05/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"06/2018";"Feminino";8
"Piauí";"Homicídio doloso";"06/2018";"Masculino";51
"Piauí";"Homicídio doloso";"06/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"07/2018";"Feminino";2
"Piauí";"Homicídio doloso";"07/2018";"Masculino";42
"Piauí";"Homicídio doloso";"07/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"08/2018";"Feminino";2
"Piauí";"Homicídio doloso";"08/2018";"Masculino";45
"Piauí";"Homicídio doloso";"08/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"09/2018";"Feminino";2
"Piauí";"Homicídio doloso";"09/2018";"Masculino";41
"Piauí";"Homicídio doloso";"09/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"10/2018";"Feminino";5
"Piauí";"Homicídio doloso";"10/2018";"Masculino";38
"Piauí";"Homicídio doloso";"10/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"11/2018";"Feminino";4
"Piauí";"Homicídio doloso";"11/2018";"Masculino";51
"Piauí";"Homicídio doloso";"11/2018";"Sexo NI";"-"
"Piauí";"Homicídio doloso";"12/2018";"Feminino";2
"Piauí";"Homicídio doloso";"12/2018";"Masculino";47
"Piauí";"Homicídio doloso";"12/2018";"Sexo NI";"-"
