"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Distrito Federal";"Homicídio doloso";"07/2017";"Masculino";34
"Distrito Federal";"Homicídio doloso";"07/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"08/2017";"Feminino";2
"Distrito Federal";"Homicídio doloso";"08/2017";"Masculino";30
"Distrito Federal";"Homicídio doloso";"08/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"09/2017";"Feminino";6
"Distrito Federal";"Homicídio doloso";"09/2017";"Masculino";36
"Distrito Federal";"Homicídio doloso";"09/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"10/2017";"Feminino";4
"Distrito Federal";"Homicídio doloso";"10/2017";"Masculino";48
"Distrito Federal";"Homicídio doloso";"10/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"11/2017";"Feminino";4
"Distrito Federal";"Homicídio doloso";"11/2017";"Masculino";41
"Distrito Federal";"Homicídio doloso";"11/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"12/2017";"Feminino";4
"Distrito Federal";"Homicídio doloso";"12/2017";"Masculino";47
"Distrito Federal";"Homicídio doloso";"12/2017";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"01/2018";"Feminino";7
"Distrito Federal";"Homicídio doloso";"01/2018";"Masculino";38
"Distrito Federal";"Homicídio doloso";"01/2018";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"02/2018";"Feminino";7
"Distrito Federal";"Homicídio doloso";"02/2018";"Masculino";53
"Distrito Federal";"Homicídio doloso";"02/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"03/2018";"Feminino";4
"Distrito Federal";"Homicídio doloso";"03/2018";"Masculino";42
"Distrito Federal";"Homicídio doloso";"03/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"04/2018";"Feminino";4
"Distrito Federal";"Homicídio doloso";"04/2018";"Masculino";41
"Distrito Federal";"Homicídio doloso";"04/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"05/2018";"Feminino";8
"Distrito Federal";"Homicídio doloso";"05/2018";"Masculino";33
"Distrito Federal";"Homicídio doloso";"05/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"06/2018";"Feminino";5
"Distrito Federal";"Homicídio doloso";"06/2018";"Masculino";34
"Distrito Federal";"Homicídio doloso";"06/2018";"Sexo NI";1
"Distrito Federal";"Homicídio doloso";"07/2018";"Feminino";5
"Distrito Federal";"Homicídio doloso";"07/2018";"Masculino";38
"Distrito Federal";"Homicídio doloso";"07/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"08/2018";"Feminino";6
"Distrito Federal";"Homicídio doloso";"08/2018";"Masculino";31
"Distrito Federal";"Homicídio doloso";"08/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"09/2018";"Feminino";3
"Distrito Federal";"Homicídio doloso";"09/2018";"Masculino";27
"Distrito Federal";"Homicídio doloso";"09/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"10/2018";"Feminino";7
"Distrito Federal";"Homicídio doloso";"10/2018";"Masculino";47
"Distrito Federal";"Homicídio doloso";"10/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"11/2018";"Feminino";5
"Distrito Federal";"Homicídio doloso";"11/2018";"Masculino";38
"Distrito Federal";"Homicídio doloso";"11/2018";"Sexo NI";"-"
"Distrito Federal";"Homicídio doloso";"12/2018";"Feminino";5
"Distrito Federal";"Homicídio doloso";"12/2018";"Masculino";38
"Distrito Federal";"Homicídio doloso";"12/2018";"Sexo NI";"-"
