"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Acre";"Homicídio doloso";"11/2017";"Masculino";21
"Acre";"Homicídio doloso";"11/2017";"Sexo NI";0
"Acre";"Homicídio doloso";"12/2017";"Feminino";1
"Acre";"Homicídio doloso";"12/2017";"Masculino";10
"Acre";"Homicídio doloso";"12/2017";"Sexo NI";"-"
"Acre";"Homicídio doloso";"01/2018";"Feminino";2
"Acre";"Homicídio doloso";"01/2018";"Masculino";23
"Acre";"Homicídio doloso";"01/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"02/2018";"Feminino";1
"Acre";"Homicídio doloso";"02/2018";"Masculino";14
"Acre";"Homicídio doloso";"02/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"03/2018";"Feminino";1
"Acre";"Homicídio doloso";"03/2018";"Masculino";12
"Acre";"Homicídio doloso";"03/2018";"Sexo NI";0
"Acre";"Homicídio doloso";"04/2018";"Feminino";3
"Acre";"Homicídio doloso";"04/2018";"Masculino";13
"Acre";"Homicídio doloso";"04/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"05/2018";"Feminino";3
"Acre";"Homicídio doloso";"05/2018";"Masculino";20
"Acre";"Homicídio doloso";"05/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"06/2018";"Feminino";4
"Acre";"Homicídio doloso";"06/2018";"Masculino";18
"Acre";"Homicídio doloso";"06/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"07/2018";"Feminino";3
"Acre";"Homicídio doloso";"07/2018";"Masculino";34
"Acre";"Homicídio doloso";"07/2018";"Sexo NI";0
"Acre";"Homicídio doloso";"08/2018";"Feminino";1
"Acre";"Homicídio doloso";"08/2018";"Masculino";19
"Acre";"Homicídio doloso";"08/2018";"Sexo NI";0
"Acre";"Homicídio doloso";"09/2018";"Feminino";1
"Acre";"Homicídio doloso";"09/2018";"Masculino";15
"Acre";"Homicídio doloso";"09/2018";"Sexo NI";"-"
"Acre";"Homicídio doloso";"10/2018";"Feminino";3
"Acre";"Homicídio doloso";"10/2018";"Masculino";14
"Acre";"Homicídio doloso";"10/2018";"Sexo NI";0
"Acre";"Homicídio doloso";"11/2018";"Feminino";1
"Acre";"Homicídio doloso";"11/2018";"Masculino";14
"Acre";"Homicídio doloso";"11/2018";"Sexo NI";0
"Acre";"Homicídio doloso";"12/2018";"Feminino";2
"Acre";"Homicídio doloso";"12/2018";"Masculino";15
"Acre";"Homicídio doloso";"12/2018";"Sexo NI";"-"
