"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Ceará";"Homicídio doloso";"11/2017";"Feminino";44
"Ceará";"Homicídio doloso";"11/2017";"Masculino";416
"Ceará";"Homicídio doloso";"11/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"12/2017";"Feminino";45
"Ceará";"Homicídio doloso";"12/2017";"Masculino";399
"Ceará";"Homicídio doloso";"12/2017";"Sexo NI";0
"Ceará";"Homicídio doloso";"01/2018";"Feminino";51
"Ceará";"Homicídio doloso";"01/2018";"Masculino";418
"Ceará";"Homicídio doloso";"01/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"02/2018";"Feminino";42
"Ceará";"Homicídio doloso";"02/2018";"Masculino";316
"Ceará";"Homicídio doloso";"02/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"03/2018";"Feminino";41
"Ceará";"Homicídio doloso";"03/2018";"Masculino";370
"Ceará";"Homicídio doloso";"03/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"04/2018";"Feminino";31
"Ceará";"Homicídio doloso";"04/2018";"Masculino";330
"Ceará";"Homicídio doloso";"04/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"05/2018";"Feminino";29
"Ceará";"Homicídio doloso";"05/2018";"Masculino";334
"Ceará";"Homicídio doloso";"05/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"06/2018";"Feminino";32
"Ceará";"Homicídio doloso";"06/2018";"Masculino";350
"Ceará";"Homicídio doloso";"06/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"07/2018";"Feminino";41
"Ceará";"Homicídio doloso";"07/2018";"Masculino";333
"Ceará";"Homicídio doloso";"07/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"08/2018";"Feminino";35
"Ceará";"Homicídio doloso";"08/2018";"Masculino";310
"Ceará";"Homicídio doloso";"08/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"09/2018";"Feminino";41
"Ceará";"Homicídio doloso";"09/2018";"Masculino";344
"Ceará";"Homicídio doloso";"09/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"10/2018";"Feminino";33
"Ceará";"Homicídio doloso";"10/2018";"Masculino";325
"Ceará";"Homicídio doloso";"10/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"11/2018";"Feminino";36
"Ceará";"Homicídio doloso";"11/2018";"Masculino";279
"Ceará";"Homicídio doloso";"11/2018";"Sexo NI";0
"Ceará";"Homicídio doloso";"12/2018";"Feminino";36
"Ceará";"Homicídio doloso";"12/2018";"Masculino";275
"Ceará";"Homicídio doloso";"12/2018";"Sexo NI";0
