"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio Grande do Sul";"Homicídio doloso";"05/2017";"Masculino";230
"Rio Grande do Sul";"Homicídio doloso";"05/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"06/2017";"Feminino";36
"Rio Grande do Sul";"Homicídio doloso";"06/2017";"Masculino";235
"Rio Grande do Sul";"Homicídio doloso";"06/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"07/2017";"Feminino";27
"Rio Grande do Sul";"Homicídio doloso";"07/2017";"Masculino";191
"Rio Grande do Sul";"Homicídio doloso";"07/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"08/2017";"Feminino";26
"Rio Grande do Sul";"Homicídio doloso";"08/2017";"Masculino";190
"Rio Grande do Sul";"Homicídio doloso";"08/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"09/2017";"Feminino";39
"Rio Grande do Sul";"Homicídio doloso";"09/2017";"Masculino";261
"Rio Grande do Sul";"Homicídio doloso";"09/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"10/2017";"Feminino";25
"Rio Grande do Sul";"Homicídio doloso";"10/2017";"Masculino";221
"Rio Grande do Sul";"Homicídio doloso";"10/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"11/2017";"Feminino";31
"Rio Grande do Sul";"Homicídio doloso";"11/2017";"Masculino";203
"Rio Grande do Sul";"Homicídio doloso";"11/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"12/2017";"Feminino";32
"Rio Grande do Sul";"Homicídio doloso";"12/2017";"Masculino";260
"Rio Grande do Sul";"Homicídio doloso";"12/2017";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"01/2018";"Feminino";28
"Rio Grande do Sul";"Homicídio doloso";"01/2018";"Masculino";243
"Rio Grande do Sul";"Homicídio doloso";"01/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"02/2018";"Feminino";29
"Rio Grande do Sul";"Homicídio doloso";"02/2018";"Masculino";212
"Rio Grande do Sul";"Homicídio doloso";"02/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"03/2018";"Feminino";32
"Rio Grande do Sul";"Homicídio doloso";"03/2018";"Masculino";241
"Rio Grande do Sul";"Homicídio doloso";"03/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"04/2018";"Feminino";31
"Rio Grande do Sul";"Homicídio doloso";"04/2018";"Masculino";218
"Rio Grande do Sul";"Homicídio doloso";"04/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"05/2018";"Feminino";11
"Rio Grande do Sul";"Homicídio doloso";"05/2018";"Masculino";168
"Rio Grande do Sul";"Homicídio doloso";"05/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"06/2018";"Feminino";34
"Rio Grande do Sul";"Homicídio doloso";"06/2018";"Masculino";188
"Rio Grande do Sul";"Homicídio doloso";"06/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"07/2018";"Feminino";23
"Rio Grande do Sul";"Homicídio doloso";"07/2018";"Masculino";163
"Rio Grande do Sul";"Homicídio doloso";"07/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"08/2018";"Feminino";11
"Rio Grande do Sul";"Homicídio doloso";"08/2018";"Masculino";114
"Rio Grande do Sul";"Homicídio doloso";"08/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"09/2018";"Feminino";20
"Rio Grande do Sul";"Homicídio doloso";"09/2018";"Masculino";190
"Rio Grande do Sul";"Homicídio doloso";"09/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"10/2018";"Feminino";13
"Rio Grande do Sul";"Homicídio doloso";"10/2018";"Masculino";174
"Rio Grande do Sul";"Homicídio doloso";"10/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"11/2018";"Feminino";25
"Rio Grande do Sul";"Homicídio doloso";"11/2018";"Masculino";183
"Rio Grande do Sul";"Homicídio doloso";"11/2018";"Sexo NI";0
"Rio Grande do Sul";"Homicídio doloso";"12/2018";"Feminino";15
"Rio Grande do Sul";"Homicídio doloso";"12/2018";"Masculino";161
"Rio Grande do Sul";"Homicídio doloso";"12/2018";"Sexo NI";0
