"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Pernambuco";"Homicídio doloso";"08/2017";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"09/2017";"Feminino";21
"Pernambuco";"Homicídio doloso";"09/2017";"Masculino";375
"Pernambuco";"Homicídio doloso";"09/2017";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"10/2017";"Feminino";22
"Pernambuco";"Homicídio doloso";"10/2017";"Masculino";396
"Pernambuco";"Homicídio doloso";"10/2017";"Sexo NI";2
"Pernambuco";"Homicídio doloso";"11/2017";"Feminino";27
"Pernambuco";"Homicídio doloso";"11/2017";"Masculino";407
"Pernambuco";"Homicídio doloso";"11/2017";"Sexo NI";2
"Pernambuco";"Homicídio doloso";"12/2017";"Feminino";36
"Pernambuco";"Homicídio doloso";"12/2017";"Masculino";349
"Pernambuco";"Homicídio doloso";"12/2017";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"01/2018";"Feminino";26
"Pernambuco";"Homicídio doloso";"01/2018";"Masculino";415
"Pernambuco";"Homicídio doloso";"01/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"02/2018";"Feminino";24
"Pernambuco";"Homicídio doloso";"02/2018";"Masculino";369
"Pernambuco";"Homicídio doloso";"02/2018";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"03/2018";"Feminino";20
"Pernambuco";"Homicídio doloso";"03/2018";"Masculino";330
"Pernambuco";"Homicídio doloso";"03/2018";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"04/2018";"Feminino";13
"Pernambuco";"Homicídio doloso";"04/2018";"Masculino";327
"Pernambuco";"Homicídio doloso";"04/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"05/2018";"Feminino";19
"Pernambuco";"Homicídio doloso";"05/2018";"Masculino";325
"Pernambuco";"Homicídio doloso";"05/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"06/2018";"Feminino";17
"Pernambuco";"Homicídio doloso";"06/2018";"Masculino";312
"Pernambuco";"Homicídio doloso";"06/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"07/2018";"Feminino";17
"Pernambuco";"Homicídio doloso";"07/2018";"Masculino";308
"Pernambuco";"Homicídio doloso";"07/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"08/2018";"Feminino";20
"Pernambuco";"Homicídio doloso";"08/2018";"Masculino";257
"Pernambuco";"Homicídio doloso";"08/2018";"Sexo NI";0
"Pernambuco";"Homicídio doloso";"09/2018";"Feminino";15
"Pernambuco";"Homicídio doloso";"09/2018";"Masculino";295
"Pernambuco";"Homicídio doloso";"09/2018";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"10/2018";"Feminino";21
"Pernambuco";"Homicídio doloso";"10/2018";"Masculino";298
"Pernambuco";"Homicídio doloso";"10/2018";"Sexo NI";2
"Pernambuco";"Homicídio doloso";"11/2018";"Feminino";14
"Pernambuco";"Homicídio doloso";"11/2018";"Masculino";277
"Pernambuco";"Homicídio doloso";"11/2018";"Sexo NI";1
"Pernambuco";"Homicídio doloso";"12/2018";"Feminino";22
"Pernambuco";"Homicídio doloso";"12/2018";"Masculino";273
"Pernambuco";"Homicídio doloso";"12/2018";"Sexo NI";2
