"UF";"Tipo Crime";"Mês/Ano";"Sexo da Vítima";"Valor considerado para Públicação no Portal Ministério da Justiça e Segurança Pública"
"Rio de Janeiro";"Homicídio doloso";"06/2017";"Feminino";39
"Rio de Janeiro";"Homicídio doloso";"06/2017";"Masculino";336
"Rio de Janeiro";"Homicídio doloso";"06/2017";"Sexo NI";15
"Rio de Janeiro";"Homicídio doloso";"07/2017";"Feminino";25
"Rio de Janeiro";"Homicídio doloso";"07/2017";"Masculino";324
"Rio de Janeiro";"Homicídio doloso";"07/2017";"Sexo NI";25
"Rio de Janeiro";"Homicídio doloso";"08/2017";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"08/2017";"Masculino";347
"Rio de Janeiro";"Homicídio doloso";"08/2017";"Sexo NI";22
"Rio de Janeiro";"Homicídio doloso";"09/2017";"Feminino";41
"Rio de Janeiro";"Homicídio doloso";"09/2017";"Masculino";394
"Rio de Janeiro";"Homicídio doloso";"09/2017";"Sexo NI";23
"Rio de Janeiro";"Homicídio doloso";"10/2017";"Feminino";29
"Rio de Janeiro";"Homicídio doloso";"10/2017";"Masculino";439
"Rio de Janeiro";"Homicídio doloso";"10/2017";"Sexo NI";18
"Rio de Janeiro";"Homicídio doloso";"11/2017";"Feminino";21
"Rio de Janeiro";"Homicídio doloso";"11/2017";"Masculino";409
"Rio de Janeiro";"Homicídio doloso";"11/2017";"Sexo NI";25
"Rio de Janeiro";"Homicídio doloso";"12/2017";"Feminino";40
"Rio de Janeiro";"Homicídio doloso";"12/2017";"Masculino";385
"Rio de Janeiro";"Homicídio doloso";"12/2017";"Sexo NI";20
"Rio de Janeiro";"Homicídio doloso";"01/2018";"Feminino";39
"Rio de Janeiro";"Homicídio doloso";"01/2018";"Masculino";412
"Rio de Janeiro";"Homicídio doloso";"01/2018";"Sexo NI";17
"Rio de Janeiro";"Homicídio doloso";"02/2018";"Feminino";31
"Rio de Janeiro";"Homicídio doloso";"02/2018";"Masculino";402
"Rio de Janeiro";"Homicídio doloso";"02/2018";"Sexo NI";8
"Rio de Janeiro";"Homicídio doloso";"03/2018";"Feminino";42
"Rio de Janeiro";"Homicídio doloso";"03/2018";"Masculino";441
"Rio de Janeiro";"Homicídio doloso";"03/2018";"Sexo NI";25
"Rio de Janeiro";"Homicídio doloso";"04/2018";"Feminino";28
"Rio de Janeiro";"Homicídio doloso";"04/2018";"Masculino";421
"Rio de Janeiro";"Homicídio doloso";"04/2018";"Sexo NI";27
"Rio de Janeiro";"Homicídio doloso";"05/2018";"Feminino";25
"Rio de Janeiro";"Homicídio doloso";"05/2018";"Masculino";375
"Rio de Janeiro";"Homicídio doloso";"05/2018";"Sexo NI";23
"Rio de Janeiro";"Homicídio doloso";"06/2018";"Feminino";19
"Rio de Janeiro";"Homicídio doloso";"06/2018";"Masculino";325
"Rio de Janeiro";"Homicídio doloso";"06/2018";"Sexo NI";31
